         55632 function calls (53686 primitive calls) in 7.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 threading.py:146(acquire)
       49    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
        2    0.000    0.000    0.001    0.000 app.py:891(add_url_rule)
        2    0.000    0.000    0.001    0.000 routing.py:613(compile)
       20    0.000    0.000    0.000    0.000 random.py:271(choice)
        2    0.000    0.000    0.000    0.000 posixpath.py:321(normpath)
        9    0.000    0.000    0.000    0.000 {repr}
       21    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 exceptions.py:542(_find_exceptions)
        2    0.000    0.000    0.000    0.000 {posix.uname}
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        1    0.000    0.000    0.002    0.002 framework.py:6(<module>)
       61    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
       32    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    7.030    7.030 serving.py:606(run_with_reloader)
       21    0.000    0.000    0.000    0.000 security.py:134(<genexpr>)
       21    0.000    0.000    0.000    0.000 {binascii.hexlify}
       10    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
        1    0.000    0.000    0.000    0.000 account.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 uuid.py:101(__init__)
        4    0.000    0.000    0.000    0.000 {fcntl.fcntl}
       22    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        2    0.000    0.000    0.000    0.000 threading.py:259(__init__)
        1    0.000    0.000    0.000    0.000 _compat.py:10(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:827(Unpickler)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 wrappers.py:1613(CommonResponseDescriptorsMixin)
       64    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 datastructures.py:1731(cache_property)
    38/21    0.000    0.000    0.000    0.000 {issubclass}
       28    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 routing.py:537(__init__)
        2    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        2    0.000    0.000    0.000    0.000 {posix.close}
        1    0.000    0.000    0.000    0.000 uuid.py:53(UUID)
        1    0.000    0.000    0.000    0.000 _compat.py:92(with_metaclass)
        4    0.000    0.000    0.000    0.000 routing.py:627(_build_regex)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        2    0.000    0.000    0.000    0.000 {sorted}
